species,trait,T,y,replicates
sonorensis,nu,12,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,1,NA
sonorensis,nu,15,1,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,20,0,NA
sonorensis,nu,20,0,NA
sonorensis,nu,20,0,NA
sonorensis,nu,20,0,NA
sonorensis,nu,20,1,NA
sonorensis,nu,20,0,NA
sonorensis,nu,20,1,NA
sonorensis,nu,20,0.5,NA
sonorensis,nu,20,1,NA
sonorensis,nu,20,0.5,NA
sonorensis,nu,25,0,NA
sonorensis,nu,25,0,NA
sonorensis,nu,25,0,NA
sonorensis,nu,25,0.5,NA
sonorensis,nu,25,0.3333333333333333,NA
sonorensis,nu,25,0.3333333333333333,NA
sonorensis,nu,25,0.2,NA
sonorensis,nu,25,0.25,NA
sonorensis,nu,25,0.3333333333333333,NA
sonorensis,nu,25,0.5,NA
sonorensis,nu,30,0,NA
sonorensis,nu,30,0,NA
sonorensis,nu,30,0.5,NA
sonorensis,nu,30,0.5,NA
sonorensis,nu,30,1,NA
sonorensis,nu,30,1,NA
sonorensis,nu,30,0.2,NA
sonorensis,nu,30,0.14285714285714285,NA
sonorensis,nu,30,0.5,NA
sonorensis,nu,30,0.25,NA
sonorensis,nu,15,0.14285714285714285,NA
sonorensis,nu,15,0.1,NA
sonorensis,nu,15,0.3333333333333333,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,1,NA
sonorensis,nu,15,0.5,NA
sonorensis,nu,15,0.5,NA
sonorensis,nu,15,1,NA
sonorensis,nu,15,1,NA
sonorensis,nu,15,0.5,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,20,1,NA
sonorensis,nu,20,0.5,NA
sonorensis,nu,20,0,NA
sonorensis,nu,20,0.5,NA
sonorensis,nu,20,0.5,NA
sonorensis,nu,20,0.2,NA
sonorensis,nu,20,0.1111111111111111,NA
sonorensis,nu,20,0.3333333333333333,NA
sonorensis,nu,20,0.3333333333333333,NA
sonorensis,nu,20,0.2,NA
sonorensis,nu,20,0,NA
sonorensis,nu,20,0.25,NA
sonorensis,nu,20,0.3333333333333333,NA
sonorensis,nu,20,0.2,NA
sonorensis,nu,20,0.25,NA
sonorensis,nu,25,0.1111111111111111,NA
sonorensis,nu,25,0.2,NA
sonorensis,nu,25,0.2,NA
sonorensis,nu,25,0,NA
sonorensis,nu,25,0.5,NA
sonorensis,nu,25,0.25,NA
sonorensis,nu,25,0.14285714285714285,NA
sonorensis,nu,25,0.2,NA
sonorensis,nu,25,0.1,NA
sonorensis,nu,25,0.16666666666666666,NA
sonorensis,nu,25,0.125,NA
sonorensis,nu,25,0.3333333333333333,NA
sonorensis,nu,25,0.16666666666666666,NA
sonorensis,nu,30,0.25,NA
sonorensis,nu,30,0.1,NA
sonorensis,nu,30,0.16666666666666666,NA
sonorensis,nu,30,0.3333333333333333,NA
sonorensis,nu,30,0.125,NA
sonorensis,nu,30,0.1111111111111111,NA
sonorensis,nu,30,0.16666666666666666,NA
sonorensis,nu,30,0.16666666666666666,NA
sonorensis,nu,30,0.25,NA
sonorensis,nu,30,0.16666666666666666,NA
sonorensis,nu,30,0.2,NA
sonorensis,nu,15,0.25,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,1,NA
sonorensis,nu,15,0,NA
sonorensis,nu,20,0.5,NA
sonorensis,nu,20,1,NA
sonorensis,nu,20,0,NA
sonorensis,nu,20,0,NA
sonorensis,nu,20,0.5,NA
sonorensis,nu,20,0.16666666666666666,NA
sonorensis,nu,20,1,NA
sonorensis,nu,20,0.5,NA
sonorensis,nu,20,0,NA
sonorensis,nu,20,0.16666666666666666,NA
sonorensis,nu,20,0.25,NA
sonorensis,nu,20,0,NA
sonorensis,nu,20,0,NA
sonorensis,nu,20,0,NA
sonorensis,nu,20,1,NA
sonorensis,nu,25,1,NA
sonorensis,nu,25,0,NA
sonorensis,nu,25,0,NA
sonorensis,nu,25,0,NA
sonorensis,nu,25,0,NA
sonorensis,nu,25,0,NA
sonorensis,nu,25,0,NA
sonorensis,nu,25,0,NA
sonorensis,nu,25,0,NA
sonorensis,nu,25,0,NA
sonorensis,nu,25,0,NA
sonorensis,nu,25,0,NA
sonorensis,nu,25,1,NA
sonorensis,nu,30,1,NA
sonorensis,nu,30,0,NA
sonorensis,nu,30,0,NA
sonorensis,nu,30,1,NA
sonorensis,nu,30,0,NA
sonorensis,nu,30,0,NA
sonorensis,nu,30,1,NA
sonorensis,nu,30,0.5,NA
sonorensis,nu,30,1,NA
sonorensis,nu,30,1,NA
sonorensis,nu,30,0.3333333333333333,NA
sonorensis,nu,15,1,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0.3333333333333333,NA
sonorensis,nu,15,0.5,NA
sonorensis,nu,15,0.3333333333333333,NA
sonorensis,nu,15,1,NA
sonorensis,nu,15,0.5,NA
sonorensis,nu,15,0.5,NA
sonorensis,nu,15,0.5,NA
sonorensis,nu,20,0.5,NA
sonorensis,nu,20,1,NA
sonorensis,nu,20,0,NA
sonorensis,nu,20,0,NA
sonorensis,nu,20,0,NA
sonorensis,nu,20,1,NA
sonorensis,nu,20,0,NA
sonorensis,nu,20,1,NA
sonorensis,nu,20,0,NA
sonorensis,nu,20,1,NA
sonorensis,nu,20,0,NA
sonorensis,nu,20,0.5,NA
sonorensis,nu,20,0.5,NA
sonorensis,nu,20,0.5,NA
sonorensis,nu,20,0.5,NA
sonorensis,nu,25,1,NA
sonorensis,nu,25,0,NA
sonorensis,nu,25,0,NA
sonorensis,nu,25,0,NA
sonorensis,nu,25,1,NA
sonorensis,nu,25,0,NA
sonorensis,nu,25,1,NA
sonorensis,nu,25,0,NA
sonorensis,nu,25,1,NA
sonorensis,nu,25,0,NA
sonorensis,nu,25,1,NA
sonorensis,nu,25,0,NA
sonorensis,nu,25,1,NA
sonorensis,nu,30,0.2,NA
sonorensis,nu,30,0,NA
sonorensis,nu,30,1,NA
sonorensis,nu,30,0.3333333333333333,NA
sonorensis,nu,30,0.2,NA
sonorensis,nu,30,0.16666666666666666,NA
sonorensis,nu,30,0.5,NA
sonorensis,nu,30,1,NA
sonorensis,nu,30,1,NA
sonorensis,nu,30,0.3333333333333333,NA
sonorensis,nu,30,0.3333333333333333,NA
sonorensis,nu,15,0.25,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,15,0,NA
sonorensis,nu,20,0.25,NA
sonorensis,nu,20,0,NA
sonorensis,nu,20,0,NA
sonorensis,nu,20,1,NA
sonorensis,nu,20,1,NA
sonorensis,nu,20,0,NA
sonorensis,nu,20,0.5,NA
sonorensis,nu,20,0.5,NA
sonorensis,nu,20,0.5,NA
sonorensis,nu,20,0.16666666666666666,NA
sonorensis,nu,20,0.16666666666666666,NA
sonorensis,nu,20,0.25,NA
sonorensis,nu,20,0.3333333333333333,NA
sonorensis,nu,20,0.125,NA
sonorensis,nu,20,0.2,NA
sonorensis,nu,25,1,NA
sonorensis,nu,25,0,NA
sonorensis,nu,25,0.125,NA
sonorensis,nu,25,0.1111111111111111,NA
sonorensis,nu,25,0.1,NA
sonorensis,nu,25,0.1,NA
sonorensis,nu,25,0.1,NA
sonorensis,nu,25,0.1,NA
sonorensis,nu,25,0.1111111111111111,NA
